"indic_de","unit","geo","time","values"
"PC_Y65_69","PC","AT31",2018,5
"PC_Y70_74","PC","AT31",2018,4
"PC_Y75_79","PC","AT31",2018,4.2
"PC_Y80_84","PC","AT31",2018,2.5
"PC_Y85_MAX","PC","AT31",2018,2.5
"PC_Y60_64","PC","AT32",2017,5.9
"PC_Y65_69","PC","AT32",2017,5.2
"PC_Y70_74","PC","AT32",2017,4.4
"PC_Y75_79","PC","AT32",2017,4
"PC_Y80_84","PC","AT32",2017,2.3
"PC_Y85_MAX","PC","AT32",2017,2.4
"PC_Y60_64","PC","AT32",2018,6
"PC_Y65_69","PC","AT32",2018,5.1
"PC_Y70_74","PC","AT32",2018,4.4
"PC_Y75_79","PC","AT32",2018,4.2
"PC_Y80_84","PC","AT32",2018,2.3
"PC_Y85_MAX","PC","AT32",2018,2.4
"PC_Y60_64","PC","AT33",2017,5.4
"PC_Y65_69","PC","AT33",2017,4.9
"PC_Y70_74","PC","AT33",2017,4.1
"PC_Y75_79","PC","AT33",2017,3.9
"PC_Y80_84","PC","AT33",2017,2.3
"PC_Y85_MAX","PC","AT33",2017,2.3
"PC_Y60_64","PC","AT33",2018,5.6
"PC_Y65_69","PC","AT33",2018,4.9
"PC_Y70_74","PC","AT33",2018,4.2
"PC_Y75_79","PC","AT33",2018,4.1
"PC_Y80_84","PC","AT33",2018,2.3
"PC_Y85_MAX","PC","AT33",2018,2.3
"PC_Y60_64","PC","AT34",2017,5.4
"PC_Y65_69","PC","AT34",2017,4.8
"PC_Y70_74","PC","AT34",2017,3.9
"PC_Y75_79","PC","AT34",2017,3.7
"PC_Y80_84","PC","AT34",2017,2.3
"PC_Y85_MAX","PC","AT34",2017,2.2
"PC_Y60_64","PC","AT34",2018,5.5
"PC_Y65_69","PC","AT34",2018,4.8
"PC_Y70_74","PC","AT34",2018,4
"PC_Y75_79","PC","AT34",2018,3.8
"PC_Y80_84","PC","AT34",2018,2.3
"PC_Y85_MAX","PC","AT34",2018,2.2
"PC_Y60_64","PC","BE",2017,6
"PC_Y65_69","PC","BE",2017,5.4
"PC_Y70_74","PC","BE",2017,4.2
"PC_Y75_79","PC","BE",2017,3.3
"PC_Y80_84","PC","BE",2017,2.8
"PC_Y85_MAX","PC","BE",2017,2.7
"PC_Y60_64","PC","BE",2018,6.1
"PC_Y65_69","PC","BE",2018,5.4
"PC_Y70_74","PC","BE",2018,4.5
"PC_Y75_79","PC","BE",2018,3.3
"PC_Y80_84","PC","BE",2018,2.8
"PC_Y85_MAX","PC","BE",2018,2.8
"PC_Y60_64","PC","BE1",2017,4.5
"PC_Y65_69","PC","BE1",2017,3.7
"PC_Y70_74","PC","BE1",2017,2.9
"PC_Y75_79","PC","BE1",2017,2.3
"PC_Y80_84","PC","BE1",2017,1.9
"PC_Y85_MAX","PC","BE1",2017,2.2
"PC_Y60_64","PC","BE1",2018,4.5
"PC_Y65_69","PC","BE1",2018,3.7
"PC_Y70_74","PC","BE1",2018,3
"PC_Y75_79","PC","BE1",2018,2.3
"PC_Y80_84","PC","BE1",2018,1.9
"PC_Y85_MAX","PC","BE1",2018,2.2
"PC_Y60_64","PC","BE10",2017,4.5
"PC_Y65_69","PC","BE10",2017,3.7
"PC_Y70_74","PC","BE10",2017,2.9
"PC_Y75_79","PC","BE10",2017,2.3
"PC_Y80_84","PC","BE10",2017,1.9
"PC_Y85_MAX","PC","BE10",2017,2.2
"PC_Y60_64","PC","BE10",2018,4.5
"PC_Y65_69","PC","BE10",2018,3.7
"PC_Y70_74","PC","BE10",2018,3
"PC_Y75_79","PC","BE10",2018,2.3
"PC_Y80_84","PC","BE10",2018,1.9
"PC_Y85_MAX","PC","BE10",2018,2.2
"PC_Y60_64","PC","BE2",2017,6.3
"PC_Y65_69","PC","BE2",2017,5.5
"PC_Y70_74","PC","BE2",2017,4.6
"PC_Y75_79","PC","BE2",2017,3.7
"PC_Y80_84","PC","BE2",2017,3.1
"PC_Y85_MAX","PC","BE2",2017,2.9
"PC_Y60_64","PC","BE2",2018,6.4
"PC_Y65_69","PC","BE2",2018,5.5
"PC_Y70_74","PC","BE2",2018,4.8
"PC_Y75_79","PC","BE2",2018,3.6
"PC_Y80_84","PC","BE2",2018,3.1
"PC_Y85_MAX","PC","BE2",2018,3
"PC_Y60_64","PC","BE21",2017,6.1
"PC_Y65_69","PC","BE21",2017,5.3
"PC_Y70_74","PC","BE21",2017,4.4
"PC_Y75_79","PC","BE21",2017,3.5
"PC_Y80_84","PC","BE21",2017,2.9
"PC_Y85_MAX","PC","BE21",2017,2.8
"PC_Y60_64","PC","BE21",2018,6.2
"PC_Y65_69","PC","BE21",2018,5.3
"PC_Y70_74","PC","BE21",2018,4.6
"PC_Y75_79","PC","BE21",2018,3.4
"PC_Y80_84","PC","BE21",2018,2.9
"PC_Y85_MAX","PC","BE21",2018,2.8
"PC_Y60_64","PC","BE22",2017,6.7
"PC_Y65_69","PC","BE22",2017,5.8
"PC_Y70_74","PC","BE22",2017,4.5
"PC_Y75_79","PC","BE22",2017,3.7
"PC_Y80_84","PC","BE22",2017,2.9
"PC_Y85_MAX","PC","BE22",2017,2.4
"PC_Y60_64","PC","BE22",2018,6.9
"PC_Y65_69","PC","BE22",2018,5.9
"PC_Y70_74","PC","BE22",2018,4.7
"PC_Y75_79","PC","BE22",2018,3.6
"PC_Y80_84","PC","BE22",2018,2.9
"PC_Y85_MAX","PC","BE22",2018,2.6
"PC_Y60_64","PC","BE23",2017,6
"PC_Y65_69","PC","BE23",2017,5.4
"PC_Y70_74","PC","BE23",2017,4.5
"PC_Y75_79","PC","BE23",2017,3.5
"PC_Y80_84","PC","BE23",2017,3.1
"PC_Y85_MAX","PC","BE23",2017,2.9
"PC_Y60_64","PC","BE23",2018,6.1
"PC_Y65_69","PC","BE23",2018,5.4
"PC_Y70_74","PC","BE23",2018,4.7
"PC_Y75_79","PC","BE23",2018,3.4
"PC_Y80_84","PC","BE23",2018,3.1
"PC_Y85_MAX","PC","BE23",2018,3
"PC_Y60_64","PC","BE24",2017,6.1
"PC_Y65_69","PC","BE24",2017,5.3
"PC_Y70_74","PC","BE24",2017,4.4
"PC_Y75_79","PC","BE24",2017,3.4
"PC_Y80_84","PC","BE24",2017,3
"PC_Y85_MAX","PC","BE24",2017,2.9
"PC_Y60_64","PC","BE24",2018,6.2
"PC_Y65_69","PC","BE24",2018,5.3
"PC_Y70_74","PC","BE24",2018,4.5
"PC_Y75_79","PC","BE24",2018,3.3
"PC_Y80_84","PC","BE24",2018,3
"PC_Y85_MAX","PC","BE24",2018,3
"PC_Y60_64","PC","BE25",2017,6.6
"PC_Y65_69","PC","BE25",2017,6.1
"PC_Y70_74","PC","BE25",2017,5.3
"PC_Y75_79","PC","BE25",2017,4.3
"PC_Y80_84","PC","BE25",2017,3.5
"PC_Y85_MAX","PC","BE25",2017,3.5
"PC_Y60_64","PC","BE25",2018,6.7
"PC_Y65_69","PC","BE25",2018,6.1
"PC_Y70_74","PC","BE25",2018,5.5
"PC_Y75_79","PC","BE25",2018,4.2
"PC_Y80_84","PC","BE25",2018,3.6
"PC_Y85_MAX","PC","BE25",2018,3.6
"PC_Y60_64","PC","BE3",2017,6.2
"PC_Y65_69","PC","BE3",2017,5.7
"PC_Y70_74","PC","BE3",2017,4
"PC_Y75_79","PC","BE3",2017,3.1
"PC_Y80_84","PC","BE3",2017,2.6
"PC_Y85_MAX","PC","BE3",2017,2.6
"PC_Y60_64","PC","BE3",2018,6.2
"PC_Y65_69","PC","BE3",2018,5.6
"PC_Y70_74","PC","BE3",2018,4.4
"PC_Y75_79","PC","BE3",2018,3
"PC_Y80_84","PC","BE3",2018,2.5
"PC_Y85_MAX","PC","BE3",2018,2.7
"PC_Y60_64","PC","BE31",2017,6.1
"PC_Y65_69","PC","BE31",2017,5.6
"PC_Y70_74","PC","BE31",2017,4.3
"PC_Y75_79","PC","BE31",2017,3.2
"PC_Y80_84","PC","BE31",2017,2.5
"PC_Y85_MAX","PC","BE31",2017,2.6
"PC_Y60_64","PC","BE31",2018,6.2
"PC_Y65_69","PC","BE31",2018,5.6
"PC_Y70_74","PC","BE31",2018,4.7
"PC_Y75_79","PC","BE31",2018,3.1
"PC_Y80_84","PC","BE31",2018,2.5
"PC_Y85_MAX","PC","BE31",2018,2.7
"PC_Y60_64","PC","BE32",2017,6.3
"PC_Y65_69","PC","BE32",2017,5.8
"PC_Y70_74","PC","BE32",2017,4
"PC_Y75_79","PC","BE32",2017,3
"PC_Y80_84","PC","BE32",2017,2.5
"PC_Y85_MAX","PC","BE32",2017,2.7
"PC_Y60_64","PC","BE32",2018,6.3
"PC_Y65_69","PC","BE32",2018,5.7
"PC_Y70_74","PC","BE32",2018,4.5
"PC_Y75_79","PC","BE32",2018,2.9
"PC_Y80_84","PC","BE32",2018,2.5
"PC_Y85_MAX","PC","BE32",2018,2.8
"PC_Y60_64","PC","BE33",2017,6.2
