"indic_de","unit","geo","time","values"
"OLDDEP1","PC","AT34",2017,25.3
"OLDDEP2","PC","AT34",2017,40.1
"PC_FM","PC","AT34",2017,101.6
"PC_Y60_MAX","PC","AT34",2017,22.3
"PC_Y65_MAX","PC","AT34",2017,16.9
"OLDDEP1","PC","AT34",2018,25.6
"OLDDEP2","PC","AT34",2018,40.7
"PC_FM","PC","AT34",2018,101.6
"PC_Y60_MAX","PC","AT34",2018,22.6
"PC_Y65_MAX","PC","AT34",2018,17.1
"OLDDEP1","PC","BE",2017,28.6
"OLDDEP2","PC","BE",2017,46.3
"PC_FM","PC","BE",2017,103.1
"PC_Y60_MAX","PC","BE",2017,24.5
"PC_Y65_MAX","PC","BE",2017,18.5
"OLDDEP1","PC","BE",2018,29.1
"OLDDEP2","PC","BE",2018,47.1
"PC_FM","PC","BE",2018,103
"PC_Y60_MAX","PC","BE",2018,24.8
"PC_Y65_MAX","PC","BE",2018,18.7
"OLDDEP1","PC","BE1",2017,19.5
"OLDDEP2","PC","BE1",2017,30.6
"PC_FM","PC","BE1",2017,104.1
"PC_Y60_MAX","PC","BE1",2017,17.5
"PC_Y65_MAX","PC","BE1",2017,13.1
"OLDDEP1","PC","BE1",2018,19.5
"OLDDEP2","PC","BE1",2018,30.7
"PC_FM","PC","BE1",2018,103.9
"PC_Y60_MAX","PC","BE1",2018,17.6
"PC_Y65_MAX","PC","BE1",2018,13.1
"OLDDEP1","PC","BE10",2017,19.5
"OLDDEP2","PC","BE10",2017,30.6
"PC_FM","PC","BE10",2017,104.1
"PC_Y60_MAX","PC","BE10",2017,17.5
"PC_Y65_MAX","PC","BE10",2017,13.1
"OLDDEP1","PC","BE10",2018,19.5
"OLDDEP2","PC","BE10",2018,30.7
"PC_FM","PC","BE10",2018,103.9
"PC_Y60_MAX","PC","BE10",2018,17.6
"PC_Y65_MAX","PC","BE10",2018,13.1
"OLDDEP1","PC","BE2",2017,30.8
"OLDDEP2","PC","BE2",2017,49.6
"PC_FM","PC","BE2",2017,102.1
"PC_Y60_MAX","PC","BE2",2017,26
"PC_Y65_MAX","PC","BE2",2017,19.7
"OLDDEP1","PC","BE2",2018,31.3
"OLDDEP2","PC","BE2",2018,50.5
"PC_FM","PC","BE2",2018,102.1
"PC_Y60_MAX","PC","BE2",2018,26.3
"PC_Y65_MAX","PC","BE2",2018,20
