unit,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PCH_PRE,EL42	3.2 	3 	3.2 	-9.6 	-5.2 	-7.6 	-5.4 	0.9 	2.7 	0.7 p	-3.7 p	: 
PCH_PRE,EL43	3.9 	0.3 	1.7 	-4 	-6.1 	-10.2 	-7.8 	0.5 	4.2 	0.6 p	-2.6 p	: 
PCH_PRE,EL51	-1 	4.6 	1.3 	-3 	-0.9 	-11.4 	-5.2 	-4.8 	-0.4 	-1.1 p	0.4 p	: 
PCH_PRE,EL52	4.8 	3.6 	-0.4 	-3.4 	-7.2 	-8.2 	-6.9 	-3.4 	0 	0.6 p	0.6 p	: 
PCH_PRE,EL53	-0.8 	-3.6 	-9 	3.6 	-0.7 	-2.2 	-5.4 	-9.6 	-1 	-5.9 p	-8.9 p	: 
PCH_PRE,EL54	1.5 	0.6 	-1.5 	-3.9 	-2 	-6.6 	-7.4 	-1.8 	1.1 	-0.7 p	0.4 p	: 
PCH_PRE,EL61	4.7 	0.2 	-0.8 	-3.8 	-8.5 	-8.5 	-2.3 	-1.7 	2.4 	-0.3 p	-0.1 p	: 
PCH_PRE,EL62	1.9 	2.3 	2.4 	-9.3 	-5.7 	-12.3 	-3.9 	-2.6 	3.7 	0.2 p	-1.5 p	: 
PCH_PRE,EL63	5.6 	0.3 	-2.8 	-5.3 	-2.1 	-10.1 	-4.8 	-5 	0.8 	-1 p	-2 p	: 
PCH_PRE,EL64	-1.2 	0.1 	-2.2 	-3.4 	-5.7 	-7.3 	-6.3 	-5.1 	-1.3 	-1.1 p	2.4 p	: 
PCH_PRE,EL65	4.4 	2.5 	-1.4 	-2.2 	-5.6 	-7.2 	-5 	-2.8 	0.4 	0.2 p	0.4 p	: 
PCH_PRE,ES11	4.6 	4.8 	2.3 	-3.4 	0.3 	-1.7 	-2.7 	-1.4 	0.4 	3.7 	2.9 p	3.1 p
PCH_PRE,ES12	4.2 	3.5 	1.2 	-4.8 	0.4 	-0.9 	-4.1 	-3.2 	-0.6 	2 	1.4 p	3.7 p
PCH_PRE,ES13	3.1 	3.4 	0.9 	-3.6 	-0.5 	-2.1 	-2.4 	-3.4 	1.1 	1.9 	2.4 p	3.3 p
PCH_PRE,ES21	4 	3.6 	1.7 	-3.8 	0.8 	-0.4 	-1.6 	-2.1 	1.7 	3 	2.9 p	3.1 p
PCH_PRE,ES22	4.3 	4 	2.3 	-3.5 	0.4 	0.4 	-3.2 	-0.8 	2 	2.3 	2.9 p	2.8 p
PCH_PRE,ES23	4.5 	4.6 	2.1 	-4.2 	0.5 	-1.6 	-3.6 	-2.9 	0.4 	2.7 	2.4 p	1.5 p
PCH_PRE,ES24	4.7 	5.2 	1.7 	-3.4 	0.7 	-1.4 	-4.3 	0.5 	0.8 	1 	3 p	3.3 p
PCH_PRE,ES30	5.1 	4.5 	1.8 	-2.1 	0.1 	1 	-1.5 	-1.5 	1.3 	3.4 	3.1 p	3.3 p
PCH_PRE,ES41	3.3 	3.8 	0.8 	-2.7 	0.2 	-0.2 	-3.6 	-2.3 	-0.1 	2 	2.9 p	1.7 p
PCH_PRE,ES42	5.5 	6.3 	3 	-2.5 	-0.3 	-1.5 	-4.9 	-0.4 	-1.7 	3.2 	4 p	2.3 p
PCH_PRE,ES43	4 	4.7 	2.1 	-2.3 	0.9 	-1.2 	-3.3 	-0.8 	-0.4 	2.5 	1.6 p	2.1 p
PCH_PRE,ES51	4.2 	3.9 	0.6 	-3.3 	0.3 	-1.6 	-2.9 	-1.2 	1.5 	3.7 	3.3 p	3.2 p
PCH_PRE,ES52	4.3 	3.8 	1.1 	-5.4 	-0.6 	-1.5 	-3.8 	-1.2 	1.9 	2.9 	2.6 p	3.1 p
PCH_PRE,ES53	3.3 	3.9 	1.6 	-3.8 	-0.4 	0.2 	-1.5 	-1.6 	2.7 	3 	4.2 p	2.4 p
PCH_PRE,ES61	4.3 	4.2 	0.9 	-3.4 	-1.2 	-0.2 	-3.3 	-2 	1.4 	2.9 	2.7 p	2.7 p
PCH_PRE,ES62	4.5 	4.9 	2.3 	-4.4 	0.1 	-1 	-2.9 	-1.2 	1.9 	6.1 	4.1 p	3.1 p
PCH_PRE,ES63	2.4 	3.9 	2 	-1.5 	1.4 	0.6 	-1.7 	0.6 	-0.6 	2.2 	1.8 p	1.6 p
PCH_PRE,ES64	2.5 	2.3 	1.7 	-1.3 	0.6 	1 	-1.8 	0.2 	0.9 	2.2 	2.3 p	1.8 p
PCH_PRE,ES70	3.1 	3.6 	0.3 	-4.2 	1 	-0.6 	-2.4 	-1.1 	0.6 	2.5 	3.2 p	2.6 p
