"age","indic_he","unit","sex","icd10","geo","time","values"
"TOTAL","INPAT","P_HTHAB","M","E","ITC4",2017,217.7
"TOTAL","INPAT","P_HTHAB","M","E","ITF1",2017,265.5
"TOTAL","INPAT","P_HTHAB","M","E","ITF2",2017,161.3
"TOTAL","INPAT","P_HTHAB","M","E","ITF3",2017,193.6
"TOTAL","INPAT","P_HTHAB","M","E","ITF4",2017,269.2
"TOTAL","INPAT","P_HTHAB","M","E","ITF5",2017,186.4
"TOTAL","INPAT","P_HTHAB","M","E","ITF6",2017,168.4
"TOTAL","INPAT","P_HTHAB","M","E","ITG1",2017,237.7
"TOTAL","INPAT","P_HTHAB","M","E","ITG2",2017,306.3
"TOTAL","INPAT","P_HTHAB","M","E","ITH1",2017,262.4
"TOTAL","INPAT","P_HTHAB","M","E","ITH2",2017,237.7
"TOTAL","INPAT","P_HTHAB","M","E","ITH3",2017,201.8
"TOTAL","INPAT","P_HTHAB","M","E","ITH4",2017,166.3
"TOTAL","INPAT","P_HTHAB","M","E","ITH5",2017,235
"TOTAL","INPAT","P_HTHAB","M","E","ITI1",2017,215.2
"TOTAL","INPAT","P_HTHAB","M","E","ITI2",2017,198.5
"TOTAL","INPAT","P_HTHAB","M","E","ITI3",2017,182.8
"TOTAL","INPAT","P_HTHAB","M","E","ITI4",2017,227.5
"TOTAL","INPAT","P_HTHAB","M","E","LI",2017,122.2
"TOTAL","INPAT","P_HTHAB","M","E","LT",2017,323.1
"TOTAL","INPAT","P_HTHAB","M","E","LT01",2017,338.2
"TOTAL","INPAT","P_HTHAB","M","E","LT02",2017,317.1
"TOTAL","INPAT","P_HTHAB","M","E","LV",2017,181.4
"TOTAL","INPAT","P_HTHAB","M","E","ME",2017,295.4
"TOTAL","INPAT","P_HTHAB","M","E","MT",2017,426.9
"TOTAL","INPAT","P_HTHAB","M","E","NL",2017,180
"TOTAL","INPAT","P_HTHAB","M","E","NL11",2017,156.3
"TOTAL","INPAT","P_HTHAB","M","E","NL12",2017,157.3
"TOTAL","INPAT","P_HTHAB","M","E","NL13",2017,180.2
"TOTAL","INPAT","P_HTHAB","M","E","NL21",2017,168.1
"TOTAL","INPAT","P_HTHAB","M","E","NL22",2017,159.1
"TOTAL","INPAT","P_HTHAB","M","E","NL23",2017,267.8
"TOTAL","INPAT","P_HTHAB","M","E","NL31",2017,156.8
"TOTAL","INPAT","P_HTHAB","M","E","NL32",2017,165.2
"TOTAL","INPAT","P_HTHAB","M","E","NL33",2017,189.8
"TOTAL","INPAT","P_HTHAB","M","E","NL34",2017,187.3
"TOTAL","INPAT","P_HTHAB","M","E","NL41",2017,201.9
"TOTAL","INPAT","P_HTHAB","M","E","NL42",2017,182
"TOTAL","INPAT","P_HTHAB","M","E","NO",2017,372.2
"TOTAL","INPAT","P_HTHAB","M","E","PL",2017,446
"TOTAL","INPAT","P_HTHAB","M","E","RO",2017,603.4
"TOTAL","INPAT","P_HTHAB","M","E","RO11",2017,668.1
"TOTAL","INPAT","P_HTHAB","M","E","RO12",2017,536.6
"TOTAL","INPAT","P_HTHAB","M","E","RO21",2017,548.2
"TOTAL","INPAT","P_HTHAB","M","E","RO22",2017,510.4
"TOTAL","INPAT","P_HTHAB","M","E","RO31",2017,304.9
"TOTAL","INPAT","P_HTHAB","M","E","RO32",2017,1208.3
"TOTAL","INPAT","P_HTHAB","M","E","RO41",2017,453.8
"TOTAL","INPAT","P_HTHAB","M","E","RO42",2017,747.7
"TOTAL","INPAT","P_HTHAB","M","E","RS",2017,524.2
"TOTAL","INPAT","P_HTHAB","M","E","SE",2017,238.2
"TOTAL","INPAT","P_HTHAB","M","E","SI",2017,356.4
"TOTAL","INPAT","P_HTHAB","M","E","SK",2017,458.2
"TOTAL","INPAT","P_HTHAB","M","F","AT",2017,1257.3
"TOTAL","INPAT","P_HTHAB","M","F","AT11",2017,440.1
"TOTAL","INPAT","P_HTHAB","M","F","AT12",2017,1162.4
"TOTAL","INPAT","P_HTHAB","M","F","AT13",2017,968.8
"TOTAL","INPAT","P_HTHAB","M","F","AT21",2017,1460.6
"TOTAL","INPAT","P_HTHAB","M","F","AT22",2017,1398.3
"TOTAL","INPAT","P_HTHAB","M","F","AT31",2017,1507.9
"TOTAL","INPAT","P_HTHAB","M","F","AT32",2017,1695.9
"TOTAL","INPAT","P_HTHAB","M","F","AT33",2017,1319.3
"TOTAL","INPAT","P_HTHAB","M","F","AT34",2017,1226.4
"TOTAL","INPAT","P_HTHAB","M","F","BE",2017,301.5
"TOTAL","INPAT","P_HTHAB","M","F","BE10",2017,404.8
"TOTAL","INPAT","P_HTHAB","M","F","BE21",2017,210
"TOTAL","INPAT","P_HTHAB","M","F","BE22",2017,128.4
"TOTAL","INPAT","P_HTHAB","M","F","BE23",2017,250.6
"TOTAL","INPAT","P_HTHAB","M","F","BE24",2017,233.3
"TOTAL","INPAT","P_HTHAB","M","F","BE25",2017,311.5
"TOTAL","INPAT","P_HTHAB","M","F","BE31",2017,257.3
"TOTAL","INPAT","P_HTHAB","M","F","BE32",2017,447.4
"TOTAL","INPAT","P_HTHAB","M","F","BE33",2017,365.8
"TOTAL","INPAT","P_HTHAB","M","F","BE34",2017,371.4
